노드명,위경도,위도,경도
인촌기념관,"127.0310746907003,37.58949118518682,0",37.58949119,127.0310747
타이거플라자,"127.0306611962076,37.58766248953391,0",37.58766249,127.0306612
정후,"127.029990849074,37.58690132189851,0",37.58690132,127.0299908
현대문화사,"127.0298522315299,37.5868246637311,0",37.58682466,127.0298522
정경관2,"127.0303669655626,37.58720865240517,0",37.58720865,127.030367
미디어관1,"127.0305880913931,37.58698424282214,0",37.58698424,127.0305881
정경관1,"127.0303008624477,37.58675068557525,0",37.58675069,127.0303009
교양관1,"127.0315463111233,37.58698374029152,0",37.58698374,127.0315463
민주광장1,"127.0318219637236,37.58723961660836,0",37.58723962,127.031822
학생회관,"127.032052218646,37.58705122562213,0",37.58705123,127.0320522
농구코트,"127.0329375274324,37.58743469268837,0",37.58743469,127.0329375
4.18 기념관,"127.0326148732378,37.58720939823474,0",37.5872094,127.0326149
민주광장3,"127.0319620703977,37.58754339781876,0",37.5875434,127.0319621
SK미래관1,"127.0328925457716,37.5881323851379,0",37.58813239,127.0328925
SK미래관3,"127.0320058731046,37.58818214731247,0",37.58818215,127.0320059
SK미래관4,"127.0323691643074,37.58845623361285,0",37.58845623,127.0323692
본관 앞,"127.0330311387577,37.58902853404594,0",37.58902853,127.0330311
중지입구2,"127.0334172501522,37.58800294486562,0",37.58800294,127.0334173
엘포관1,"127.0352604836173,37.59016198648951,0",37.59016199,127.0352605
엘포관2,"127.0348410840053,37.58987607364441,0",37.58987607,127.0348411
중앙광장1,"127.0339501647286,37.5883898126444,0",37.58838981,127.0339502
중지입구3,"127.0333463793368,37.58926406318646,0",37.58926406,127.0333464
중지입구4,"127.0327795907983,37.5887570991541,0",37.5887571,127.0327796
중앙광장2,"127.0338791113286,37.58886985896493,0",37.58886986,127.0338791
중앙광장3,"127.033379054896,37.58841098025128,0",37.58841098,127.0333791
중앙광장6,"127.0333280616125,37.58883226948027,0",37.58883227,127.0333281
교양관2,"127.0311318537354,37.58731276756865,0",37.58731277,127.0311319
미디어관2,"127.0316268970863,37.5865169940936,0",37.58651699,127.0316269
하나은행,"127.0319069084736,37.5867439140135,0",37.58674391,127.0319069
안암역앞 CU,"127.0301053792199,37.58642661736639,0",37.58642662,127.0301054
고려대역 쪽길,"127.0351213524502,37.58938104084394,0",37.58938104,127.0351214
고려대역 1번출구,"127.0356199704657,37.58972008459229,0",37.58972008,127.03562
중앙광장5,"127.0336154945907,37.58862518374828,0",37.58862518,127.0336155
SK미래관5,"127.0332527550204,37.58782869356181,0",37.58782869,127.0332528
학관 뒤 쪽길,"127.0322380698784,37.58658845237919,0",37.58658845,127.0322381
인촌기념관 뒷길,"127.0312105531844,37.59000409301589,0",37.59000409,127.0312106
경영대 뒤 공터,"127.035276640939,37.59124341562148,0",37.59124342,127.0352766
개운사길_KFC,"127.0293245070472,37.58654234688905,0",37.58654235,127.0293245
개운사길_미소초밥,"127.0292854591896,37.5873815419103,0",37.58738154,127.0292855
디어브레드,"127.0287978258811,37.58737923251994,0",37.58737923,127.0287978
비야부대찌개,"127.0292628952056,37.58826039325426,0",37.58826039,127.0292629
세븐일레븐,"127.0297764217648,37.58742234243691,0",37.58742234,127.0297764
개운사,"127.029192459149,37.58897377292153,0",37.58897377,127.0291925
개운사길 골목길1,"127.0288054138643,37.58697453642605,0",37.58697454,127.0288054
개운사길 골목길3,"127.0286677062917,37.58821682785435,0",37.58821683,127.0286677
개운사길 골목길2,"127.0288127760881,37.5865560866897,0",37.58655609,127.0288128
정후 골목길1,"127.0298047316661,37.58715688905023,0",37.58715689,127.0298047
정후 골목길3,"127.0297300869072,37.58826754126399,0",37.58826754,127.0297301
정후 골목길4,"127.0297208586181,37.58855865774553,0",37.58855866,127.0297209
정후 골목길2,"127.029751501371,37.5878804976287,0",37.5878805,127.0297515
승가원,"127.0286111890991,37.5888004446156,0",37.58880044,127.0286112
법후,"127.0331613282285,37.59105650878288,0",37.59105651,127.0331613
민주광장2,"127.0316115678125,37.58776384031769,0",37.58776384,127.0316116
알파문구,"127.0304428336832,37.58640875957047,0",37.58640876,127.0304428
SK미래관2,"127.0323773195705,37.58734552047077,0",37.58734552,127.0323773
